Title|Authors
A Performance analysis of objective video quality metrics for digital video watermarking|['Prof. Manish Kumar Thakur', 'Dr. Vikash']
Data-parallel full reference algorithm for dropped frame identification in uncompressed video using genetic algorithm|['Prof. Manish Kumar Thakur', 'Dr. Vikash']
Automatic detection of DBSCAN parameters using BAT algorithm|['Prof. Manish Kumar Thakur', 'Dr. Sherry Garg']
Secret Data Hiding using Artificial Neural Networks and Discrete Wavelet Transform|['Prof. Manish Kumar Thakur', 'Dr. Tribhuwan Kumar Tewari']
A hybrid video quality metric for analyzing quality degradation due to frame drop|['Prof. Manish Kumar Thakur', 'Dr. Vikash']
High Payload SVD Based Audio Watermarking Scheme Inherently Robust to mp3 Compression|['Prof. Manish Kumar Thakur', 'Dr. Tribhuwan Kumar Tewari']
K-means and Particle Swarm Optimization based Color Constancy of Images|['Prof. Manish Kumar Thakur', 'Dr. Tribhuwan Kumar Tewari']
Resource provisioning and work flow scheduling in clouds using augmented Shuffled Frog Leaping Algorithm|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Nature-inspired algorithms: state-of-art, problems and prospects|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Empirical analysis of five nature-inspired algorithms on real parameter optimization problems|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Enhanced flower pollination algorithm on data clustering|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Differential bond energy algorithm for optimal vertical fragmentation of distributed databases|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Effective influence estimation in twitter using temporal, profile, structural and interaction characteristics|['Prof. Shikha Mehta', 'Dr. Sakshi Gupta']
Ensemble learning approach for enhanced stock prediction|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
A meta-heuristic density-based subspace clustering algorithm for high-dimensional data|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Efficient computation offloading in mobile cloud computing with nature-inspired algorithms|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Comparative analysis of nature inspired algorithms on data clustering|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
ABC_DE_FP: a novel hybrid algorithm for complex continuous optimisation problems|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Approximate shortest distance computing using k-medoids clustering|['Prof. Shikha Mehta', 'Dr. Sakshi Gupta']
Scheduling data intensive scientific workflows in cloud environment using nature inspired algorithms|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Efficient computation offloading using grey wolf optimization algorithm|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Subspace clustering of high dimensional data using differential evolution|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Improvement of Task Offloading for Latency Sensitive Tasks in Fog Environment|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Improved whale optimization variants for SLA-compliant placement of virtual machines in cloud data centers|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur', 'Dr. Parul Agarwal']
GNPA: a hybrid model for social influence maximization in dynamic networks|['Prof. Shikha Mehta', 'Dr. Sakshi Gupta']
Detection of diabetic retinopathy using ensemble learning techniques|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Empirical evidence of heuristic and cost based query optimizations in relational databases|['Prof. Shikha Mehta', 'Dr. Parmeet Kaur']
Analyzing subspace clustering approaches for high dimensional data|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
Hybrid nature-inspired algorithm for feature selection in alzheimer detection using brain MRI images|['Prof. Shikha Mehta', 'Dr. Parul Agarwal']
